"","LN.5years.","Code","Values"
"750","2009","X000036","-2.353416354"
"751","2010","X000036","-1.603623011"
"752","2011","X000036","-1.556910353"
"753","2012","X000036","-1.558445213"
"754","2013","X000036","-1.625338959"
"755","2014","X000036","-2.003989593"
"756","2015","X000036","-2.787386084"
"757","1995","X000037",NA
"758","1996","X000037",NA
"759","1997","X000037",NA
"760","1998","X000037",NA
"761","1999","X000037",NA
"762","2000","X000037","-3.613163487"
"763","2001","X000037","-3.87887705"
"764","2002","X000037","-3.115030109"
"765","2003","X000037","-2.25392943"
"766","2004","X000037","-2.340077402"
"767","2005","X000037","-2.404339837"
"768","2006","X000037","-2.033386351"
"769","2007","X000037","-1.746223287"
"770","2008","X000037","-1.959693411"
"771","2009","X000037","-1.702991094"
"772","2010","X000037","-1.979838978"
"773","2011","X000037","-2.062550972"
"774","2012","X000037","-2.005643037"
"775","2013","X000037","-2.171370705"
"776","2014","X000037","-2.422699326"
"777","2015","X000037","-2.87586044"
"778","1995","X000038",NA
"779","1996","X000038",NA
"780","1997","X000038",NA
"781","1998","X000038",NA
"782","1999","X000038",NA
"783","2000","X000038","-2.183688578"
"784","2001","X000038","-2.287401605"
"785","2002","X000038","-2.303262589"
"786","2003","X000038","-2.151282067"
"787","2004","X000038","-2.14484115"
"788","2005","X000038","-3.006366153"
"789","2006","X000038","-1.981634754"
"790","2007","X000038","0.575978899"
"791","2008","X000038","0.540084072"
"792","2009","X000038","0.53282258"
"793","2010","X000038","0.54307551"
"794","2011","X000038","0.57330732"
"795","2012","X000038","-0.323049028"
"796","2013","X000038","-2.930683632"
"797","2014","X000038","-3.198854171"
"798","2015","X000038","-2.757307692"
"799","1995","X000039",NA
"800","1996","X000039",NA
"801","1997","X000039",NA
"802","1998","X000039",NA
"803","1999","X000039",NA
"804","2000","X000039","-4.191303792"
"805","2001","X000039","-4.181425988"
"806","2002","X000039","-3.550712847"
"807","2003","X000039","-3.586989015"
"808","2004","X000039","-3.613262367"
"809","2005","X000039","-3.139919538"
"810","2006","X000039","-2.903358986"
"811","2007","X000039","-2.917084142"
"812","2008","X000039","-2.917335195"
"813","2009","X000039","-2.702156346"
"814","2010","X000039","-2.64282912"
"815","2011","X000039","-3.154767521"
"816","2012","X000039","-3.877983424"
"817","2013","X000039","-4.046043363"
"818","2014","X000039","-4.016930934"
"819","2015","X000039","-3.991314505"
"820","1995","X000040",NA
"821","1996","X000040",NA
"822","1997","X000040",NA
"823","1998","X000040",NA
"824","1999","X000040",NA
"825","2000","X000040","-4.288043397"
"826","2001","X000040","-3.389650846"
"827","2002","X000040","-2.633420075"
"828","2003","X000040","-2.405977074"
