"","latitude","longitude","country","area","colour"
"13423",55.6168,-4.6705,"United Kingdom","Irvine","bronze"
"13425",55.62365,-4.65121,"United Kingdom","Irvine","bronze"
"13513",52.26003,-7.10576,"Ireland","Waterford","blue"
"13517",43.31059,-73.64396,"United States","Glens Falls, NY","blue"
"13525",54.04884,-2.80803,"United Kingdom","Lancaster","blue"
"13528",52.91331,-4.0983,"United Kingdom","Portmeirion","green"
"13568",52.47977,-1.90845,"United Kingdom","Birmingham","black"
"13569",52.47973,-1.9083,"United Kingdom","Birmingham","stone"
"13570",52.47971,-1.90825,"United Kingdom","Birmingham","brass"
"13588",48.20989,16.34728,"Austria","Vienna",""
"13589",48.21408,16.35129,"Austria","Vienna","black"
"13590",48.22045,16.35599,"Austria","Vienna","black"
"13591",48.21571,16.35593,"Austria","Vienna","black"
"13594",51.52336,-1.14398,"United Kingdom","Goring","blue"
"13626",51.49567,-0.19455,"United Kingdom","London","blue"
"13634",51.67738,-3.48631,"United Kingdom","Maerdy","black"
"13639",52.43095,-2.00968,"United Kingdom","Birmingham","blue"
"13641",52.46618,-1.89141,"United Kingdom","Birmingham","blue"
"13642",52.46405,-1.89147,"United Kingdom","Birmingham","blue"
"13647",52.92039,-1.22774,"United Kingdom","Chilwell","blue"
"13648",52.44434,-1.70753,"United Kingdom","Solihull","white"
"13659",55.95192,-3.1896,"United Kingdom","Edinburgh","bronze"
"13665",53.60477,-2.43188,"United Kingdom","Bolton","blue"
"13671",52.90172,-2.14563,"United Kingdom","Stone","blue"
"13678",40.51944,-87.24514,"United States","Oxford, IN",""
"13689",41.07639,-85.15806,"United States","Fort Wayne, IN",""
"13691",41.09639,-85.13,"United States","Fort Wayne, IN",""
"14327",26,-98,"United States","Donna, TX","black"
"14807",30.27927,-97.75386,"United States","Austin, TX","black"
"16718",32.65503,-95.49069,"United States","Mineola, TX","black"
"17461",32.56859,-96.31367,"United States","Kaufman, TX","black"
"18225",31.3224,-95.46102,"United States","Crockett, TX","black"
"20585",31.59186,-95.58916,"United States","Elkhart, TX","black"
"22225",31.2418,-95.57316,"United States","Crockett, TX","black"
"26531",28.58416,-98.54569,"United States","Kamp Lake, TX","black"
"28417",51.47813,-3.17807,"United Kingdom","Cardiff","blue"
"28429",52.13629,-0.47574,"United Kingdom","Bedford","blue"
"28433",0,142.79859,"Australia","Laen, Victoria","blue"
"28439",50.7246,-3.53117,"United Kingdom","Exeter","black"
"28446",50.72339,-3.53018,"United Kingdom","Exeter","blue"
"28447",50.72082,-3.5349,"United Kingdom","Exeter","blue"
"28464",53.30355,-6.19904,"Ireland","Dublin","black"
"28465",37.86757,-122.2628,"United States","Berkeley, CA","gold"
"28473",51.27824,1.08406,"United Kingdom","Canterbury","bronze"
"28478",53.18657,44.98673,"Russia","Penza","black"
"28502",52.47499,-1.88611,"United Kingdom","Birmingham","brushed metal"
"28510",51.35945,1.4441,"United Kingdom","Broadstairs","blue"
"28534",53.19082,-2.88973,"United Kingdom","Chester","bronze"
"28558",53.70534,-9.22972,"Ireland","Co. Mayo","marble"
"28594",51.55191,-0.20662,"United Kingdom","London","blue"
"28616",50.80183,-1.10959,"United Kingdom","Portsmouth","black"
"28623",51.81485,-1.20833,"United Kingdom","Noke","blue"
"28649",50.71206,-1.98574,"United Kingdom","Poole","brushed metal"
"28652",50.83832,-0.17884,"United Kingdom","Hove","slate"
"28662",50.7324,-1.77649,"United Kingdom","Christchurch","stone"
"28663",50.73257,-1.77634,"United Kingdom","Christchurch","blue"
"28674",51.5261,-0.12259,"United Kingdom","London","blue"
"28679",50.73432,-1.77674,"United Kingdom","Christchurch","blue"
"28683",50.73485,-1.77762,"United Kingdom","Christchurch","bronze"
"28708",50.75803,-1.54264,"United Kingdom","Lymington","blue"
"28711",50.75905,-1.54263,"United Kingdom","Lymington","blue"
"28737",51.52665,-0.12422,"United Kingdom","London","blue"
"28750",50.82386,-0.15157,"United Kingdom","Brighton","blue"
"28751",50.73343,-1.77606,"United Kingdom","Christchurch","blue"
"28760",52.78354,-3.77393,"United Kingdom","Rhydymain","film cell"
"28763",48.84765,2.35253,"France","Paris","stone"
"28765",52.37483,4.88417,"Netherlands","Amsterdam","stone"
"28767",51.40967,0.05781,"United Kingdom","Chislehurst","slate"
"28823",54.43067,-0.53217,"United Kingdom","Robin Hood's Bay","film cell"
"28852",52.48088,-1.91215,"United Kingdom","Birmingham","black"
"28909",37.79049,-122.40737,"United States","San Francisco, CA","bronze"
"28910",52.4275,-1.94207,"United Kingdom","Birmingham","blue"
"28923",50.79533,-1.12217,"United Kingdom","Gosport","blue"
"28931",51.65837,-0.0997,"United Kingdom","Enfield","blue"
"28953",52.06476,-1.33546,"United Kingdom","Banbury","black"
"28957",50.78192,-1.15448,"United Kingdom","Gosport","blue"
"28965",52.46457,1.74302,"United Kingdom","Lowestoft","blue"
"28970",40.75442,-73.9852,"United States","New York, NY","black"
