"","CLASS_NAME","Band1","Band2","Band3","Band4"
"245","Agriculture",0.0851960480213165,0.0988911762833595,0.129983052611351,0.189983710646629
"246","Agriculture",0.0385999977588654,0.052899993956089,0.0419999957084656,0.250300019979477
"247","Agriculture",0.0392984598875046,0.0477934665977955,0.0375843234360218,0.230796545743942
"248","Agriculture",0.0409966185688972,0.0499957278370857,0.0423915237188339,0.235896438360214
"249","Agriculture",0.0392984598875046,0.049695648252964,0.0378885604441166,0.27079564332962
"250","Agriculture",0.0434918813407421,0.0562976002693176,0.0449907928705215,0.278897315263748
"251","Agriculture",0.0585976131260395,0.0698936954140663,0.078997902572155,0.194294705986977
"252","Agriculture",0.0573976822197437,0.0669944509863853,0.0850833356380463,0.129482015967369
"253","Agriculture",0.0384999960660934,0.0498999953269958,0.034400001168251,0.279900014400482
"254","Agriculture",0.101095154881477,0.116993486881256,0.155784502625465,0.217594861984253
"255","Agriculture",0.0473993420600891,0.0616992302238941,0.0495980679988861,0.232487931847572
"256","Agriculture",0.0581991076469421,0.0621929615736008,0.0859956964850426,0.104682222008705
"257","Agriculture",0.0644979104399681,0.0717957839369774,0.0885866656899452,0.161380529403687
"258","Agriculture",0.0506960190832615,0.0634949579834938,0.0559875071048737,0.241390943527222
"259","Agriculture",0.0442933030426502,0.0520963631570339,0.0470858104526997,0.228278785943985
"260","Agriculture",0.0537934824824333,0.0611910708248615,0.0744950175285339,0.110594734549522
"261","Agriculture",0.0634971484541893,0.076698899269104,0.108684927225113,0.189576417207718
"262","Agriculture",0.0361000001430511,0.0428999960422516,0.0345999971032143,0.208099991083145
"263","Agriculture",0.0579998530447483,0.0640999674797058,0.0771983563899994,0.141183659434319
"264","Agriculture",0.0390999987721443,0.053799994289875,0.0375999957323074,0.309300005435944
"265","Agriculture",0.0389999970793724,0.0446999967098236,0.0353999957442284,0.223399981856346
"266","Agriculture",0.0537934824824333,0.0616992302238941,0.0753907188773155,0.131682425737381
"267","Agriculture",0.0367999970912933,0.0452999994158745,0.0358999967575073,0.250699996948242
"268","Agriculture",0.0398977622389793,0.0633995160460472,0.055093877017498,0.248094156384468
"269","Agriculture",0.0494960658252239,0.0634997859597206,0.0582997910678387,0.218676000833511
"270","Agriculture",0.063400000333786,0.0781999975442886,0.112799994647503,0.182699993252754
"271","Agriculture",0.0610971935093403,0.0781993046402931,0.0909860506653786,0.240882441401482
"272","Agriculture",0.0485993400216103,0.0676914528012276,0.0559875071048737,0.242777466773987
"273","Agriculture",0.0457964949309826,0.0582966059446335,0.0503892786800861,0.226078197360039
"274","Agriculture",0.0525978058576584,0.0567913390696049,0.064185231924057,0.117397792637348
"275","Agriculture",0.0558944940567017,0.0677930563688278,0.0807889550924301,0.182784870266914
"276","Agriculture",0.0445922166109085,0.0530934818089008,0.051588948816061,0.186587274074554
"277","Agriculture",0.0558988079428673,0.0698936954140663,0.0823969841003418,0.192476347088814
"278","Agriculture",0.0445922166109085,0.0581997856497765,0.0494937375187874,0.234179705381393
"279","Agriculture",0.0376999974250793,0.0491999983787537,0.0358999967575073,0.258500009775162
"280","Agriculture",0.0578915737569332,0.0672992765903473,0.0828924104571342,0.169176310300827
"281","Agriculture",0.0570944771170616,0.0690998360514641,0.0843961834907532,0.150176391005516
"282","Agriculture",0.0527970679104328,0.0591920651495457,0.051588948816061,0.217887192964554
"283","Agriculture",0.0355999991297722,0.0427999943494797,0.0307000000029802,0.271899998188019
"284","Agriculture",0.0517920590937138,0.0664958208799362,0.0745991095900536,0.199280887842178
"285","Agriculture",0.0600965358316898,0.0749951377511024,0.0855874344706535,0.221092402935028
"286","Agriculture",0.0460997484624386,0.0583982467651367,0.0563875585794449,0.191484346985817
"287","Agriculture",0.0516924224793911,0.0558958947658539,0.0722955390810966,0.121278896927834
"288","Agriculture",0.0571983829140663,0.0709923803806305,0.0866827741265297,0.191586002707481
"289","Agriculture",0.0371931008994579,0.0490954592823982,0.0431826449930668,0.229677677154541
"290","Agriculture",0.0660963952541351,0.0834993273019791,0.119394153356552,0.186587274074554
"291","Agriculture",0.0555999092757702,0.0686933547258377,0.0857958644628525,0.16547517478466
"292","Agriculture",0.0548999980092049,0.0752999931573868,0.0816999971866608,0.268099993467331
"293","Agriculture",0.0445965342223644,0.0567961446940899,0.0575955472886562,0.225086241960526
"294","Agriculture",0.0584980025887489,0.0686933547258377,0.0915857255458832,0.135993599891663
"295","Agriculture",0.0575969405472279,0.0716989934444427,0.093385137617588,0.169176310300827
"296","Agriculture",0.0445922166109085,0.0530982799828053,0.0472944155335426,0.207178696990013
"297","Agriculture",0.0400955639779568,0.0478999279439449,0.0396966747939587,0.233086004853249
"298","Agriculture",0.0639954060316086,0.0745934769511223,0.104590535163879,0.18048307299614
"299","Agriculture",0.0523985214531422,0.0669944509863853,0.078997902572155,0.166199624538422
